"ブロック","選択なし",,,,,,,,,,,,,,,,,,,,,,,,,
"店舗","ひまわり薬局",,,,,,,,,,,,,,,,,,,,,,,,,
"薬品名","","部分一致",,,,,,,,,,,,,,,,,,,,,,,,
"メーカー名","","部分一致",,,,,,,,,,,,,,,,,,,,,,,,
"非表示設定","非表示以外",,,,,,,,,,,,,,,,,,,,,,,,,
"薬品区分","- すべて -",,,,,,,,,,,,,,,,,,,,,,,,,
"剤型","- すべて -",,,,,,,,,,,,,,,,,,,,,,,,,
"経過措置日","- すべて -",,,,,,,,,,,,,,,,,,,,,,,,,
"管理区分","- すべて -",,,,,,,,,,,,,,,,,,,,,,,,,
"集計期間","2025年09月01日 ～ 2025年12月07日",,,,,,,,,,,,,,,,,,,,,,,,,
"在庫数量","すべて",,,,,,,,,,,,,,,,,,,,,,,,,
"算定時除外対象薬","すべて",,,,,,,,,,,,,,,,,,,,,,,,,
"後発品(GE)","すべて",,,,,,,,,,,,,,,,,,,,,,,,,
"ハイリスク薬","すべて",,,,,,,,,,,,,,,,,,,,,,,,,
"新薬創出・適応外薬解消等促進加算","すべて",,,,,,,,,,,,,,,,,,,,,,,,,
"管理薬剤","すべて",,,,,,,,,,,,,,,,,,,,,,,,,
"日本薬局方","すべて",,,,,,,,,,,,,,,,,,,,,,,,,
"日本薬局方","すべて",,,,,,,,,,,,,,,,,,,,,,,,,
"漢方","すべて",,,,,,,,,,,,,,,,,,,,,,,,,
"オーファン","すべて",,,,,,,,,,,,,,,,,,,,,,,,,
"不動在庫商品のみ","すべて",,,,,,,,,,,,,,,,,,,,,,,,,
"出力日","2025/12/08",,,,,,,,,,,,,,,,,,,,,,,,,
"後発品構成比　 　　　","94.71%","後発品処方換算数量　 　 　　","209,648.00","処方換算数量合計　 　　　","221,352.00","後発品構成比（臨時）","95.21%","後発品処方換算数量（臨時）","179,863.00","処方換算数量合計（臨時）","188,900.00",,,,,,,,,,,,,,,
"No.","管理区分","レセ電コード","メーカー","薬品名","薬品区分","剤型","GE","ハイ","新創","局方","漢方","ｵｰﾌｧﾝ","除外","薬価","原価","単位","在庫数量","在庫金額","回転数","処方数量","処方金額","他出庫数量","他出庫金額","入庫数量","入庫金額","経過措置日"
"1","調剤","622916901","ヤンセンファーマ","ジスバルカプセル４０ｍｇ","劇薬","内服","","","","","","","除外","2297.90","2297.90","カプセル","106.00","243577","3.31","222.00","510135","","","300.00","689370",""
"2","調剤","622623101","アステラス製薬","イクスタンジ錠８０ｍｇ","劇薬","内服","","ハイ","","","","","除外","4101.80","4101.79","錠","56.00","229700","1.00","56.00","229701","","","112.00","459400",""
"3","調剤","622699301","武田薬品","トリンテリックス錠１０ｍｇ","劇薬","内服","","ハイ","","","","","除外","161.70","161.70","錠","1304.50","210938","5.00","5318.50","860004","","","5800.00","937860",""
"4","調剤","622484701","エーザイ","フィコンパ錠４ｍｇ","無し","内服","","ハイ","新創","","","","除外","319.70","319.70","錠","587.00","187664","0.96","451.00","144186","","","684.00","217140",""
"5","調剤","622986601","ＭＳＤ","ラゲブリオ錠４００ｍｇ","劇薬","内服","","","","","","","除外","4329.80","4329.80","錠","40.00","173192","1.00","40.00","173192","","","80.00","346384",""
"6","調剤","622833401","大塚製薬","レキサルティＯＤ錠２ｍｇ","劇薬","内服","","ハイ","","","","","除外","461.90","461.90","錠","329.00","151965","6.00","2013.00","929806","","","2000.00","923800",""
"7","調剤","622068301","バイエル","イグザレルト錠１０ｍｇ","無し","内服","","ハイ","","","","","除外","331.60","331.60","錠","371.50","123189","0.77","306.00","101467","","","255.00","50745",""
"8","調剤","622819401","協和キリン","ダーブロック錠６ｍｇ","劇薬","内服","","","","","","","除外","378.40","378.40","錠","313.00","118439","0.32","105.00","39732","","","69.00","692",""
"9","調剤","622496901","ＭｅｉｊｉＳｅｉｋａ","シクレスト舌下錠１０ｍｇ","劇薬","内服","","ハイ","","","","","除外","307.00","307.00","錠","383.00","117581","0.45","180.00","55260","","","144.00","26640",""
"10","調剤","622546701","","インチュニブ錠１ｍｇ","劇薬","内服","","ハイ","","","","","除外","398.80","398.80","錠","235.00","93718","4.43","1149.00","458222","","","1100.00","438680",""
"11","調剤","622449601","ヴィアトリス","イフェクサーＳＲカプセル７５ｍｇ","劇薬","内服","","ハイ","","","","","除外","167.60","167.60","カプセル","559.00","93688","5.95","2688.00","450507","","","2902.00","486242",""
"12","調剤","622994101","第一三共","アビラテロン酢酸エステル錠２５０ｍｇ「ＤＳＥＰ」","劇薬","内服","GE","","","","","","","1632.30","1632.30","錠","56.00","91409","","","","","","56.00","91409",""
